Quotazioni Fantacalcio Stagione 2026 27;;;;;;;;;;;;
Id;R;RM;Nome;Squadra;Qt.A;Qt.I;Diff.;Qt.A M;Qt.I M;Diff.M;FVM;FVM M
5641;D;"Dd;Dc";Chalobah T.;Como;9;9;0;10;10;0;26;28
6046;D;Dc;Hien;Atalanta;8;8;0;8;8;0;16;16
554;D;"Dd;E";Zappacosta;Atalanta;8;8;0;8;8;0;24;24
6042;D;Dc;Lucumì;Juventus;8;8;0;8;8;0;18;18
4734;D;"Ds;E";Miranda J.;Bologna;8;8;0;8;8;0;24;24
4210;D;Dc;Mina;Cagliari;8;8;0;8;8;0;20;20
5365;D;Dc;Dragusin;Fiorentina;8;8;0;8;8;0;27;27
6531;D;"Dd;Ds;E";Jimenez A.;Fiorentina;8;8;0;9;9;0;23;25
6814;D;"Dd;E";Norton-Cuffy;Genoa;8;8;0;8;8;0;22;22
4657;D;"B;Dd;E";Celik;Juventus;8;8;0;9;9;0;13;15
6496;D;"Ds;E";Bartesaghi;Milan;8;8;0;8;8;0;25;25
1852;D;"Ds;E";Spinazzola;Napoli;8;8;0;8;8;0;24;24
6664;D;"B;Dd;E";Delprato;Parma;8;8;0;8;8;0;21;24
5862;D;"Ds;E";Valeri;Parma;8;8;0;8;8;0;24;24
7529;D;Dc;Koulierakis;Roma;8;8;0;8;8;0;20;20
4994;D;"Dd;E";Vojvoda;Udinese;8;8;0;8;8;0;19;19
6727;D;"Dd;E";Couto;Como;8;8;0;8;8;0;27;27
5701;D;"B;Ds;E";Obert;Cagliari;7;7;0;7;7;0;14;16
7414;D;"Ds;E";Kaiki;Como;7;7;0;7;7;0;23;23
5877;D;"B;Ds;E";Carlos Augusto;Inter;7;7;0;8;8;0;27;30
6320;D;Dc;Doekhi;Lazio;7;7;0;7;7;0;22;22
460;D;Dc;Romagnoli;Lazio;7;7;0;7;7;0;24;24
6989;D;Dc;Tiago Gabriel;Lecce;7;7;0;7;7;0;17;17
4401;D;Dc;Gabbia;Milan;7;7;0;7;7;0;25;25
4751;D;Dc;Tomori;Milan;7;7;0;7;7;0;11;11
2724;D;Dc;Buongiorno;Napoli;7;7;0;7;7;0;15;15
6672;D;Dc;Idzes;Sassuolo;7;7;0;7;7;0;19;19
6642;D;Dc;Coco;Torino;7;7;0;7;7;0;18;18
5010;D;Dc;Ismajli;Torino;7;7;0;7;7;0;18;18
6485;D;"Dd;Dc";Kristensen T.;Atalanta;7;7;0;8;8;0;20;22
6916;D;"B;Ds;E";Ahanor;Atalanta;6;6;0;7;7;0;16;18
4887;D;"Dd;E";Bellanova;Atalanta;6;6;0;6;6;0;15;15
7219;D;"Ds;E";Bernasconi;Atalanta;6;6;0;6;6;0;17;17
7212;D;"Ds;Dc";Heggem;Bologna;6;6;0;7;7;0;15;17
4433;D;"Dd;E";Zortea;Bologna;6;6;0;6;6;0;19;19
6867;D;"Ds;E";Valle;Como;6;6;0;6;6;0;18;18
7294;D;"Ds;Dc";Valdepenas;Fiorentina;6;6;0;7;7;0;18;20
7410;D;"Ds;Dc";Viery;Fiorentina;6;6;0;7;7;0;19;21
4952;D;Dc;Monterisi;Frosinone;6;6;0;6;6;0;14;14
6660;D;Dc;Marcandalli;Genoa;6;6;0;6;6;0;13;13
4177;D;"Dd;Dc";Pavard;Inter;6;6;0;7;7;0;18;20
5620;D;"Ds;E";Tavares N.;Lazio;6;6;0;6;6;0;17;17
2188;D;"Dd;Ds;E";Marusic;Lazio;6;6;0;6;6;0;20;23
4502;D;"Ds;E";Gallo;Lecce;6;6;0;6;6;0;13;13
7485;D;"Ds;E";Mangas;Monza;6;6;0;6;6;0;15;15
6202;D;Dc;Beukema;Napoli;6;6;0;6;6;0;13;13
6495;D;Dc;Comuzzo;Torino;6;6;0;6;6;0;11;11
5555;D;"Ds;E";Kamara H.;Udinese;6;6;0;6;6;0;12;12
7253;D;Dc;Bella-Kotchap;Venezia;6;6;0;6;6;0;13;13
7329;D;"Ds;E";Obrador;Sassuolo;6;6;0;6;6;0;15;15
2640;D;"Ds;Dc";Kolasinac;Atalanta;5;5;0;6;6;0;12;14
7068;D;Dc;Vitik;Bologna;5;5;0;5;5;0;11;11
5678;D;"Dd;E";Holm;Bologna;5;5;0;5;5;0;13;13
7532;D;Dc;Kofler;Cagliari;5;5;0;5;5;0;11;11
7274;D;"Dd;Dc";Zè Pedro;Cagliari;5;5;0;6;6;0;11;13
6893;D;Dc;Kempf;Como;5;5;0;5;5;0;13;13
5449;D;"Ds;E";Parisi;Fiorentina;5;5;0;5;5;0;12;12
7469;D;"Ds;Dc";Bracaglia;Frosinone;5;5;0;5;5;0;11;13
6238;D;"Dd;E";Oyono A.;Frosinone;5;5;0;5;5;0;12;12
2593;D;"Ds;E";Martin;Genoa;5;5;0;5;5;0;15;15
6766;D;"Ds;Dc";Kelly L.;Juventus;5;5;0;6;6;0;10;12
4817;D;"Ds;E";Pedraza;Lazio;5;5;0;5;5;0;15;15
6632;D;Dc;Gaspar K.;Lecce;5;5;0;5;5;0;12;12
6990;D;"Dd;E";Veiga D.;Lecce;5;5;0;5;5;0;11;11
5840;D;"B;Ds;E";Olivera;Napoli;5;5;0;6;6;0;13;15
6986;D;"B;Dd;E";Rensch;Roma;5;5;0;6;6;0;16;18
6426;D;"Dd;E";Pedersen;Torino;5;5;0;5;5;0;13;13
6890;D;Dc;Moreno M.;Venezia;5;5;0;5;5;0;11;11
5695;D;"Ds;E";Haps;Venezia;5;5;0;5;5;0;11;11
4461;D;"B;Dd;E";Zappa;Cagliari;4;4;0;4;4;0;9;11
7014;D;"Dd;E";Smolcic I.;Como;4;4;0;4;4;0;10;10
5603;D;Dc;Pongracic;Fiorentina;4;4;0;4;4;0;8;8
7467;D;Dc;Calvani;Frosinone;4;4;0;4;4;0;10;10
7537;D;"Ds;E";Mitaj;Genoa;4;4;0;4;4;0;9;9
5831;D;Dc;Gatti;Juventus;4;4;0;4;4;0;10;10
7240;D;Dc;Siebert;Lecce;4;4;0;4;4;0;12;12
2115;D;Dc;Delli Carri;Monza;4;4;0;4;4;0;11;11
6659;D;Dc;Lucchesi;Monza;4;4;0;4;4;0;12;12
5838;D;"Dd;Ds;E";Birindelli;Monza;4;4;0;5;5;0;12;14
5307;D;Dc;Valenti;Parma;4;4;0;4;4;0;10;10
6631;D;Dc;Ghilardi;Roma;4;4;0;4;4;0;10;10
4374;D;"Dd;Dc";Walukiewicz;Sassuolo;4;4;0;4;4;0;10;12
5851;D;"Ds;E";Doig;Sassuolo;4;4;0;4;4;0;10;10
7526;D;Dc;Comert;Torino;4;4;0;4;4;0;10;10
4263;D;Dc;Kabasele;Udinese;4;4;0;4;4;0;9;9
5820;D;"Dd;Ds;Dc";Bertola;Udinese;4;4;0;6;6;0;10;14
5527;D;"Dd;E";Zanoli;Udinese;4;4;0;4;4;0;10;10
7312;D;"Ds;E";Arizala;Udinese;4;4;0;4;4;0;8;8
7538;D;Dc;Halhal;Venezia;4;4;0;4;4;0;10;10
4845;D;"Dd;E";Correia T.;Venezia;4;4;0;4;4;0;12;12
4375;D;"Ds;E";Terzic;Frosinone;4;4;0;4;4;0;11;11
7563;D;"Dd;Ds;E";Favasuli;Napoli;4;4;0;5;5;0;11;13
5578;D;"Dd;Dc";Kossounou;Atalanta;3;3;0;3;3;0;7;8
5498;D;Dc;Casale;Bologna;3;3;0;3;3;0;6;6
7268;D;"Ds;Dc";Rodriguez Ju.;Cagliari;3;3;0;4;4;0;10;12
7125;D;"Ds;E";Idrissi R.;Cagliari;3;3;0;3;3;0;7;7
4378;D;"Ds;Dc";Ranieri L.;Fiorentina;3;3;0;3;3;0;7;7
7175;D;"Dd;E";Joao Mario;Fiorentina;3;3;0;3;3;0;7;7
7540;D;Dc;Akpoguma;Frosinone;3;3;0;3;3;0;7;7
5757;D;Dc;Cittadini;Frosinone;3;3;0;3;3;0;8;8
7012;D;Dc;Provstgaard;Lazio;3;3;0;3;3;0;10;10
7131;D;"Dd;E";Floriani Mussolini;Lazio;3;3;0;3;3;0;12;12
5739;D;"Dd;Dc";De Winter;Milan;3;3;0;4;4;0;12;14
5273;D;"Ds;E";Estupinan;Milan;3;3;0;3;3;0;9;9
7238;D;"Dd;Dc";Kouadio;Monza;3;3;0;3;3;0;9;10
4925;D;"Ds;Dc";Carboni A.;Monza;3;3;0;4;4;0;9;11
7235;D;Dc;Troilo;Parma;3;3;0;3;3;0;8;8
7255;D;"Dd;Ds;E";Britschgi;Parma;3;3;0;4;4;0;10;12
6985;D;"Ds;Dc";Candè;Sassuolo;3;3;0;3;3;0;12;14
6892;D;Dc;Schingtienne;Venezia;3;3;0;3;3;0;7;7
6673;D;"Ds;Dc";Sverko;Venezia;3;3;0;3;3;0;7;7
6821;D;"Dd;E";Hainaut;Venezia;3;3;0;3;3;0;7;7
7326;D;"Dd;Dc";Helland;Bologna;2;2;0;2;2;0;5;5
7483;D;"Ds;E";Alhassane;Bologna;2;2;0;2;2;0;6;6
6896;D;"Dd;E";Van Der Brempt;Como;2;2;0;2;2;0;5;5
6977;D;Dc;Otoa;Genoa;2;2;0;2;2;0;5;5
7413;D;"Ds;E";Puczka;Genoa;2;2;0;2;2;0;7;7
791;D;"Dd;Ds;E";Sabelli;Genoa;2;2;0;2;2;0;5;5
2263;D;"Dd;E";Lazzari;Lazio;2;2;0;2;2;0;8;8
2728;D;"Ds;E";Pellegrini Lu.;Lazio;2;2;0;2;2;0;5;5
6883;D;Dc;Jean;Lecce;2;2;0;2;2;0;4;4
7525;D;"Ds;Dc";Diawara S.;Milan;2;2;0;2;2;0;4;4
6638;D;Dc;Marin R.;Napoli;2;2;0;2;2;0;6;6
252;D;"B;Ds;E";Biraghi;Torino;2;2;0;2;2;0;5;6
6925;D;Dc;Palma;Udinese;2;2;0;2;2;0;5;5
5994;D;"Ds;Dc";Ebosse;Udinese;2;2;0;2;2;0;4;4
7478;D;"B;Ds;E";Franjic;Venezia;2;2;0;2;2;0;4;4
6681;D;"Dd;E";Sagrado;Venezia;2;2;0;2;2;0;4;4
7548;D;"Ds;E";Aurelio;Cagliari;2;2;0;2;2;0;5;5
487;D;"Dd;E";De Silvestri;Bologna;1;1;0;1;1;0;4;4
418;D;Dc;Goldaniga;Como;1;1;0;1;1;0;1;1
5424;D;Dc;Amey;Frosinone;1;1;0;1;1;0;1;1
7468;D;Dc;Gelli J.;Frosinone;1;1;0;1;1;0;1;1
7470;D;"Dd;E";Oyono J.;Frosinone;1;1;0;1;1;0;3;3
7471;D;"Ds;E";Corrado;Frosinone;1;1;0;1;1;0;3;3
6244;D;"Ds;Dc";Matturro;Genoa;1;1;0;1;1;0;2;2
294;D;Dc;Rugani;Juventus;1;1;0;1;1;0;3;3
6039;D;"B;Ds;E";Cabal;Juventus;1;1;0;1;1;0;4;4
327;D;"Dd;Dc";Patric;Lazio;1;1;0;1;1;0;4;4
7182;D;"Ds;E";Ndaba;Lecce;1;1;0;1;1;0;4;4
5399;D;Dc;Antov;Monza;1;1;0;1;1;0;2;2
7476;D;"Dd;E";Bakoune;Monza;1;1;0;1;1;0;4;4
6809;D;Dc;Marianucci;Napoli;1;1;0;1;1;0;3;3
5481;D;"Dd;Ds;E";Mazzocchi;Napoli;1;1;0;1;1;0;3;3
7202;D;Dc;Ndiaye;Parma;1;1;0;1;1;0;4;4
6149;D;"Ds;E";Carboni F.;Parma;1;1;0;1;1;0;3;3
7260;D;Dc;Ziolkowski;Roma;1;1;0;1;1;0;2;2
6189;D;"Dd;E";Missori;Sassuolo;1;1;0;1;1;0;2;2
7156;D;"Ds;E";Pieragnolo;Sassuolo;1;1;0;1;1;0;1;1
7356;D;Dc;Mlacic;Udinese;1;1;0;1;1;0;3;3
6021;D;"Dd;Dc";Abankwah;Udinese;1;1;0;1;1;0;3;3
7454;D;"Ds;Dc";Gomes;Venezia;1;1;0;1;1;0;1;1
7553;D;Dc;Omar Fayed;Frosinone;1;1;0;1;1;0;1;1
6875;C;"T;A";Paz N.;Como;30;30;0;28;28;0;250;250
4777;C;"C;T";McTominay;Napoli;28;28;0;28;28;0;240;240
2194;C;"M;C";Calhanoglu;Inter;27;27;0;28;28;0;230;260
2167;C;"W;A";Orsolini;Bologna;26;26;0;25;25;0;200;200
2423;C;"T;A";Pulisic;Milan;25;25;0;23;23;0;180;180
2379;C;"C;T";Rabiot;Milan;22;22;0;22;22;0;128;128
7126;C;T;Baturina;Como;19;19;0;18;18;0;102;100
7556;C;T;Mora;Roma;19;19;0;18;18;0;101;99
5559;C;"C;T";Da Cunha;Como;18;18;0;18;18;0;90;90
2766;C;"T;A";Zaniolo;Udinese;18;18;0;17;17;0;100;100
6908;C;"C;T";Atta;Fiorentina;17;17;0;17;17;0;87;87
1870;C;C;Barella;Inter;17;17;0;17;17;0;80;80
4973;C;C;McKennie;Juventus;17;17;0;17;17;0;68;68
632;C;"W;A";Zaccagni;Lazio;16;16;0;15;15;0;91;88
2517;C;T;De Bruyne;Napoli;15;15;0;14;14;0;98;95
5687;C;T;Vlasic;Torino;14;14;0;13;13;0;80;77
5800;C;"T;A";Gudmundsson A.;Fiorentina;13;13;0;12;12;0;61;58
7314;C;"C;T";Taylor K.;Lazio;13;13;0;13;13;0;64;64
5792;C;"M;C";Ederson D.S.;Atalanta;12;12;0;13;13;0;45;48
5119;C;"C;T";Samardzic;Atalanta;12;12;0;12;12;0;42;42
7129;C;"W;A";Rodriguez Je.;Como;12;12;0;11;11;0;32;31
7436;C;"W;T";Alajbegovic;Juventus;12;12;0;12;12;0;56;56
6884;C;"W;A";Conceicao;Juventus;12;12;0;11;11;0;60;60
2606;C;"M;C";Modric;Milan;12;12;0;13;13;0;50;60
7078;C;"W;T";Mastantuono;Fiorentina;12;12;0;12;12;0;58;58
6372;C;W;Moreira;Milan;12;12;0;12;12;0;52;48
6844;C;"W;T";Rowe;Bologna;11;11;0;11;11;0;37;40
5823;C;T;Baldanzi;Genoa;11;11;0;10;10;0;30;27
4220;C;C;Zambo Anguissa;Napoli;11;11;0;11;11;0;54;54
6151;C;"M;C";Perrone;Como;10;10;0;11;11;0;38;41
152;C;C;Zielinski;Inter;10;10;0;10;10;0;41;41
5562;C;C;Thuram K.;Juventus;10;10;0;10;10;0;41;41
4892;C;"E;W";Saelemaekers;Milan;10;10;0;11;11;0;43;45
536;C;W;Politano;Napoli;10;10;0;9;9;0;47;43
5589;C;"M;C";Konè M.;Roma;10;10;0;11;11;0;42;45
5844;C;"C;T";Thorstvedt;Sassuolo;10;10;0;10;10;0;41;41
5888;C;"C;T";Casadei;Torino;10;10;0;10;10;0;37;37
6684;C;"C;T";Ekkelenkamp;Udinese;10;10;0;10;10;0;41;41
530;C;"C;T";Pellegrini Lo.;Roma;10;10;0;10;10;0;28;28
2077;C;"C;T";Pasalic;Atalanta;9;9;0;9;9;0;32;32
184;C;"W;T";Bernardeschi;Bologna;9;9;0;9;9;0;21;21
1933;C;C;Mandragora;Fiorentina;9;9;0;9;9;0;28;28
5500;C;"W;A";Cancellieri;Lazio;9;9;0;8;8;0;28;26
6398;C;"W;A";Isaksen;Lazio;9;9;0;8;8;0;25;23
6717;C;C;Konè I.;Sassuolo;9;9;0;9;9;0;20;20
2765;C;T;Odgaard;Bologna;8;8;0;7;7;0;22;20
4436;C;"W;A";Cambiaghi;Bologna;8;8;0;7;7;0;25;25
4465;C;"M;C";Fagioli;Fiorentina;8;8;0;9;9;0;23;25
6294;C;C;Ndour;Fiorentina;8;8;0;8;8;0;25;25
6274;C;"E;C";Diouf;Inter;8;8;0;9;9;0;37;40
7070;C;C;Sucic P.;Inter;8;8;0;8;8;0;26;26
827;C;"M;C";Locatelli;Juventus;8;8;0;9;9;0;32;35
5878;C;T;Colpani;Monza;8;8;0;7;7;0;25;22
7223;C;"W;T";Vergara;Napoli;8;8;0;8;8;0;34;34
779;C;"M;C";Cristante;Roma;8;8;0;9;9;0;29;32
7551;C;"W;T";Schmid;Frosinone;8;8;0;8;8;0;30;30
4364;C;"M;C";Gaetano;Atalanta;7;7;0;8;8;0;24;27
5858;C;"M;C";Ferguson;Bologna;7;7;0;8;8;0;18;21
6010;C;"C;T";Fazzini;Cagliari;7;7;0;8;8;0;19;21
7472;C;"M;C";Calò;Frosinone;7;7;0;8;8;0;25;28
5791;C;"M;C";Frendrup;Genoa;7;7;0;8;8;0;19;21
2848;C;"C;T";Frattesi;Lazio;7;7;0;7;7;0;55;55
2741;C;"M;C";Pessina;Monza;7;7;0;8;8;0;15;20
4287;C;"M;C";Lobotka;Napoli;7;7;0;8;8;0;20;22
6666;C;C;Bernabè;Parma;7;7;0;7;7;0;36;36
5735;C;"W;T";Volpato;Sassuolo;7;7;0;7;7;0;23;23
6218;C;"W;T";Oristanio;Torino;7;7;0;7;7;0;27;27
6783;C;T;Unai Gomez;Udinese;7;7;0;6;6;0;23;20
5946;C;"M;C";Sow;Genoa;7;7;0;8;8;0;14;17
5422;C;W;Zalewski;Atalanta;6;6;0;5;5;0;21;19
5298;C;"M;C";Pobega;Bologna;6;6;0;7;7;0;14;17
4870;C;"M;C";Adopo;Cagliari;6;6;0;7;7;0;13;16
4260;C;"M;C";Winks;Cagliari;6;6;0;7;7;0;14;17
5036;C;"C;T";Caqueret;Como;6;6;0;6;6;0;20;20
6678;C;T;Liberali;Como;6;6;0;5;5;0;22;20
7464;C;"M;C";Oulai;Fiorentina;6;6;0;7;7;0;20;22
6020;C;"E;C";Ellertsson;Genoa;6;6;0;7;7;0;18;21
5761;C;W;Zhegrova;Juventus;6;6;0;5;5;0;18;16
4459;C;"M;C";Rovella;Lazio;6;6;0;7;7;0;16;19
5504;C;"M;C";Coulibaly L.;Lecce;6;6;0;7;7;0;14;16
6549;C;W;Pierotti;Lecce;6;6;0;5;5;0;19;17
4856;C;W;Chukwueze;Milan;6;6;0;5;5;0;11;9
6593;C;C;Akinsanmiro;Monza;6;6;0;6;6;0;16;16
4349;C;"M;C";Nicolussi Caviglia;Parma;6;6;0;7;7;0;18;20
6680;C;"M;C";Karlstrom;Udinese;6;6;0;7;7;0;20;23
5674;C;"M;C";Basic;Venezia;6;6;0;7;7;0;19;20
7146;C;"E;M";Tourè I.;Monza;6;6;0;8;8;0;15;19
7528;C;"M;C";Amondarain;Bologna;5;5;0;6;6;0;12;14
7311;C;"M;C";Romano;Cagliari;5;5;0;6;6;0;12;15
6640;C;W;Felici;Cagliari;5;5;0;4;4;0;10;8
7412;C;"M;C";Milla;Como;5;5;0;5;5;0;14;16
7127;C;"W;A";Addai;Como;5;5;0;4;4;0;10;8
5998;C;W;Zerbin;Frosinone;5;5;0;4;4;0;13;11
7409;C;"W;T";Meichtry;Genoa;5;5;0;5;5;0;14;14
2857;C;"W;T";Traorè Hj.;Genoa;5;5;0;5;5;0;11;11
2529;C;C;Mkhitaryan;Inter;5;5;0;5;5;0;19;19
5685;C;"C;T";Koopmeiners;Juventus;5;5;0;5;5;0;14;14
6629;C;"C;T";Dele-Bashiru;Lazio;5;5;0;5;5;0;13;13
6015;C;"C;T";Berisha M.;Lecce;5;5;0;5;5;0;16;16
7318;C;"C;T";Gandelman;Lecce;5;5;0;5;5;0;14;14
4686;C;"M;C";Fofana Y.;Milan;5;5;0;6;6;0;23;26
6898;C;"M;C";Keita M.;Parma;5;5;0;6;6;0;15;17
6190;C;C;Pisilli;Roma;5;5;0;5;5;0;17;17
2528;C;"M;C";Matic;Sassuolo;5;5;0;6;6;0;15;17
6677;C;"C;T";Adzic;Sassuolo;5;5;0;5;5;0;16;16
7036;C;"C;T";Bakola;Sassuolo;5;5;0;5;5;0;14;14
7060;C;"E;W";Cacciamani;Torino;5;5;0;6;6;0;18;20
6170;C;"M;C";Gineitis;Torino;5;5;0;6;6;0;13;15
7198;C;"M;C";Piotrowski;Udinese;5;5;0;6;6;0;15;17
5507;C;"M;C";Busio;Venezia;5;5;0;6;6;0;14;17
5319;C;C;Sohm;Venezia;5;5;0;5;5;0;14;14
6994;C;"C;T";Perez K.;Venezia;5;5;0;5;5;0;14;14
7550;C;"M;C";Grillitsch;Frosinone;5;5;0;5;5;0;14;14
22;C;"M;C";De Roon;Atalanta;4;4;0;5;5;0;12;14
6054;C;"M;C";Moro N.;Bologna;4;4;0;4;4;0;10;12
6424;C;"M;C";Prati;Cagliari;4;4;0;4;4;0;7;7
6206;C;"C;T";Fabbian;Fiorentina;4;4;0;4;4;0;8;8
7473;C;"M;C";Cichella;Frosinone;4;4;0;4;4;0;11;13
7474;C;C;Koutsoupias;Frosinone;4;4;0;4;4;0;12;12
7341;C;"M;C";Amorim;Genoa;4;4;0;5;5;0;11;13
5301;C;"E;W";Luis Henrique;Inter;4;4;0;5;5;0;13;15
4911;C;C;Douglas Luiz;Juventus;4;4;0;4;4;0;12;12
333;C;"M;C";Cataldi;Lazio;4;4;0;5;5;0;12;15
7322;C;"M;C";Ngom;Lecce;4;4;0;5;5;0;11;13
5453;C;"M;C";Ricci S.;Milan;4;4;0;4;4;0;11;13
7203;C;C;Jashari;Milan;4;4;0;4;4;0;11;11
4199;C;"C;T";Loftus-Cheek;Milan;4;4;0;4;4;0;11;11
6252;C;"C;T";Folorunsho;Napoli;4;4;0;4;4;0;10;10
6207;C;"W;A";Almqvist;Parma;4;4;0;3;3;0;14;12
6271;C;"M;C";El Aynaoui;Roma;4;4;0;5;5;0;18;20
7535;C;"M;C";Fitz-Jim;Torino;4;4;0;5;5;0;13;15
6005;C;"M;C";Ilkhan;Torino;4;4;0;5;5;0;10;12
