Statistiche Fantacalcio Stagione 2025 26;;;;;;;;;;;;;;;;;
Id;R;Rm;Nome;Squadra;Pv;Mv;Fm;Gf;Gs;Rp;Rc;R+;R-;Ass;Amm;Esp;Au
5338;P;Por;Rinaldi;Parma;1;7;6,5;0;0;0;0;0;0;0;1;0;0
2271;P;Por;Nicolas;Pisa;6;5,92;3,58;0;14;0;0;0;0;0;0;0;0
574;P;Por;Scuffet;Pisa;7;6,21;4,07;0;15;0;0;0;0;0;0;0;0
7169;P;Por;Zelezny;Roma;0;0;0;0;0;0;0;0;0;0;0;0;0
610;P;Por;Gollini;Roma;0;0;0;0;0;0;0;0;0;0;0;0;0
4518;P;Por;Russo A.;Sassuolo;0;0;0;0;0;0;0;0;0;0;0;0;0
2127;P;Por;Satalino;Sassuolo;0;0;0;0;0;0;0;0;0;0;0;0;0
216;P;Por;Donnarumma An.;Torino;0;0;0;0;0;0;0;0;0;0;0;0;0
7179;P;Por;Israel;Torino;9;5,89;3,83;0;18;0;0;0;0;0;1;0;0
6210;P;Por;Popa;Torino;0;0;0;0;0;0;0;0;0;0;0;0;0
543;P;Por;Padelli;Udinese;2;6,25;5,25;0;2;0;0;0;0;0;0;0;0
6842;P;Por;Sava;Udinese;7;5,57;3,5;0;14;0;0;0;0;0;1;0;0
511;P;Por;Perilli;Verona;3;6,17;3,83;0;7;0;0;0;0;0;0;0;0
6125;P;Por;Vasquez D.;Roma;0;0;0;0;0;0;0;0;0;0;0;0;0
7185;P;Por;Nunziante;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0
158;P;Por;Lezzerini;Fiorentina;0;0;0;0;0;0;0;0;0;0;0;0;0
2211;P;Por;Silvestri;Cremonese;4;6,38;4,62;0;7;0;0;0;0;0;0;0;0
7236;P;Por;Toniolo;Verona;0;0;0;0;0;0;0;0;0;0;0;0;0
7261;P;Por;Cavlina;Como;0;0;0;0;0;0;0;0;0;0;0;0;0
7285;P;Por;Ferrante;Napoli;0;0;0;0;0;0;0;0;0;0;0;0;0
7042;P;Por;Calligaris;Inter;0;0;0;0;0;0;0;0;0;0;0;0;0
7301;P;Por;Tornqvist;Como;0;0;0;0;0;0;0;0;0;0;0;0;0
6650;P;Por;Sherri;Cagliari;0;0;0;0;0;0;0;0;0;0;0;0;0
7363;P;Por;Siviero;Torino;0;0;0;0;0;0;0;0;0;0;0;0;0
7382;P;Por;Pannozzo;Lazio;0;0;0;0;0;0;0;0;0;0;0;0;0
7383;P;Por;Giacomone;Lazio;0;0;0;0;0;0;0;0;0;0;0;0;0
254;D;E;Dimarco;Inter;35;6,6;7,64;7;0;0;0;0;0;17;3;0;0
2788;D;Dc;Bremer;Juventus;26;6,33;6,81;4;0;0;0;0;0;3;5;0;0
5022;D;Dc;Pavlovic;Milan;34;6,24;6,62;5;0;0;0;0;0;0;4;0;0
6832;D;E;Palestra;Cagliari;37;6,27;6,42;1;0;0;0;0;0;4;3;0;0
6893;D;Dc;Kempf;Como;29;6,12;6,52;4;0;0;0;0;0;1;3;0;0
1852;D;"Ds;E";Spinazzola;Napoli;30;6,17;6,55;3;0;0;0;0;0;3;1;0;0
5526;D;Dc;Scalvini;Atalanta;24;6,06;6,44;3;0;0;0;0;0;1;2;0;0
6217;D;Dc;Bisseck;Inter;23;6,22;6,65;3;0;0;0;0;0;2;2;0;0
2296;D;Dc;Mancini;Roma;36;6,25;6,51;4;0;0;0;0;0;2;9;0;0
5750;D;Dc;Ostigard;Genoa;30;6,13;6,52;5;0;0;0;0;0;0;7;0;0
4976;D;"Dd;Dc";Kalulu;Juventus;37;6,14;6,35;2;0;0;0;0;0;4;2;1;0
4657;D;"B;Dd;E";Celik;Roma;32;6,17;6,27;1;0;0;0;0;0;2;2;1;0
7181;D;E;Wesley;Roma;30;6,12;6,47;5;0;0;0;0;0;0;5;2;0
6956;D;Dc;Solet;Udinese;34;6,18;6,4;3;0;0;1;1;0;1;1;0;1
2120;D;Dc;Bastoni;Inter;28;6,2;6,34;1;0;0;0;0;0;4;6;0;0
4807;D;Dc;Hermoso;Roma;27;6,17;6,41;3;0;0;0;0;0;2;9;0;0
6986;D;"B;Dd;E";Rensch;Roma;19;6,16;6,5;1;0;0;0;0;0;4;1;0;0
4159;D;Dc;Akanji;Inter;32;6,28;6,41;2;0;0;0;0;0;0;4;0;0
554;D;E;Zappacosta;Atalanta;35;6,06;6,3;3;0;0;0;0;0;1;3;0;0
5513;D;E;Dumfries;Inter;19;6,11;6,58;3;0;0;0;0;0;1;2;0;0
4317;D;Dc;N'Dicka;Roma;31;6,08;6,32;3;0;0;0;0;0;1;5;0;0
2160;D;E;Gosens;Fiorentina;25;5,92;6,28;3;0;0;0;0;0;1;2;0;0
5514;D;"Ds;Dc";Vasquez;Genoa;36;6,08;6,14;1;0;0;0;0;0;0;2;0;0
6766;D;"Ds;Dc";Kelly L.;Juventus;35;6,01;6,07;1;0;0;0;0;0;1;4;0;0
4409;D;Dc;Rrahmani;Napoli;21;6,24;6,45;2;0;0;0;0;0;0;3;0;0
5862;D;"Ds;E";Valeri;Parma;34;6,06;6,09;0;0;0;0;0;0;2;2;0;0
6485;D;"Dd;Dc";Kristensen T.;Udinese;28;5,98;6,23;3;0;0;0;0;0;0;4;0;0
7211;D;"Dd;E";Athekame;Milan;17;5,94;6,32;2;0;0;0;0;0;2;3;0;0
5678;D;"Dd;E";Holm;Juventus;16;6,09;6,44;1;0;0;0;0;0;4;1;1;0
4734;D;"Ds;E";Miranda J.;Bologna;31;6;6,1;1;0;0;0;0;0;3;6;0;0
4994;D;"Dd;E";Vojvoda;Como;27;6,02;6,24;2;0;0;0;0;0;1;2;0;0
6867;D;"Ds;E";Valle;Como;26;6,06;6,23;1;0;0;0;0;0;3;3;0;0
5885;D;E;Dodò;Fiorentina;36;5,99;6,03;1;0;0;0;0;0;2;7;0;0
2593;D;"Ds;E";Martin;Genoa;29;5,97;6,1;1;0;0;1;0;1;5;2;0;0
5877;D;"B;Ds;E";Carlos Augusto;Inter;28;6,12;6,16;1;0;0;0;0;0;1;6;0;0
6989;D;Dc;Tiago Gabriel;Lecce;36;6;6,01;2;0;0;0;0;0;0;7;0;1
4502;D;"Ds;E";Gallo;Lecce;37;5,95;5,99;0;0;0;0;0;0;3;3;0;0
6496;D;"Ds;E";Bartesaghi;Milan;31;5,97;6,05;2;0;0;0;0;0;0;3;0;1
6202;D;Dc;Beukema;Napoli;22;5,93;6,16;2;0;0;0;0;0;0;2;0;0
2816;D;"Dd;E";Di Lorenzo;Napoli;26;6,08;6,33;2;0;0;0;0;0;1;1;0;0
6664;D;"B;Dd;E";Delprato;Parma;35;5,91;6,01;2;0;0;0;0;0;0;5;0;0
4263;D;Dc;Kabasele;Udinese;28;5,98;6,18;3;0;0;0;0;0;0;5;1;0
6869;D;Dc;Ramon;Como;32;6,16;6,14;2;0;0;0;0;0;0;11;1;0
7220;D;"Dd;E";Belghali;Verona;26;6,1;6,21;2;0;0;0;0;0;0;6;0;0
5427;D;"Ds;E";Gutierrez;Napoli;21;5,98;6,17;1;0;0;0;0;0;1;0;0;0
7329;D;"Ds;E";Obrador;Torino;16;6,06;6,41;1;0;0;0;0;0;3;1;0;0
6066;D;"Dd;Dc";Posch;Como;8;6,06;6,38;1;0;0;0;0;0;0;1;0;0
4210;D;Dc;Mina;Cagliari;26;6;6,17;2;0;0;0;0;0;1;3;1;0
5435;D;"Ds;E";Moreno Alb.;Como;16;6,06;6,38;2;0;0;0;0;0;1;4;0;0
5520;D;E;Cambiaso;Juventus;36;5,81;5,99;3;0;0;0;0;0;4;3;1;2
5835;D;Dc;Baschirotto;Cremonese;29;5,95;6,12;2;0;0;0;0;0;0;2;0;0
7143;D;"Ds;E";Angori;Pisa;35;5,91;5,94;0;0;0;0;0;0;2;2;0;0
6642;D;Dc;Coco;Torino;35;5,84;5,91;1;0;0;0;0;0;1;3;0;0
7219;D;E;Bernasconi;Atalanta;22;6,09;6,16;0;0;0;0;0;0;3;3;0;0
393;D;Dc;Luperto;Cremonese;34;5,84;5,9;1;0;0;0;0;0;1;4;0;0
4433;D;E;Zortea;Bologna;28;5,86;5,89;0;0;0;0;0;0;2;2;0;0
4177;D;"Dd;Dc";Pavard;Inter;1;6,5;6,5;0;0;0;0;0;0;0;0;0;0
5833;D;Dc;Gila;Lazio;31;6,03;5,95;0;0;0;0;0;0;0;3;1;0
460;D;Dc;Romagnoli;Lazio;32;6,03;5,92;0;0;0;0;0;0;0;5;1;0
2188;D;"Dd;Ds;E";Marusic;Lazio;33;5,86;5,97;1;0;0;0;0;0;2;1;1;0
4751;D;Dc;Tomori;Milan;32;5,97;5,88;0;0;0;0;0;0;1;6;1;0
2724;D;Dc;Buongiorno;Napoli;32;5,89;5,88;0;0;0;0;0;0;1;3;0;0
6663;D;Dc;Circati;Parma;31;5,92;5,92;1;0;0;0;0;0;0;6;0;0
7155;D;Dc;Muharemovic;Sassuolo;32;5,91;5,89;2;0;0;0;0;0;1;7;0;2
4665;D;Dc;Maripan;Torino;26;5,94;6,1;2;0;0;0;0;0;0;4;0;0
6631;D;Dc;Ghilardi;Roma;21;5,98;5,95;0;0;0;0;0;0;0;1;0;0
6480;D;"Dd;E";Tchatchoua;Verona;0;0;0;0;0;0;0;0;0;0;0;0;0
6672;D;Dc;Idzes;Sassuolo;35;5,94;5,9;0;0;0;0;0;0;0;3;0;0
4137;D;Dc;Diego Carlos;Como;25;6,14;6,1;1;0;0;0;0;0;0;8;0;0
6550;D;"B;Ds;E";Garcia U.;Sassuolo;12;6,17;6,46;1;0;0;0;0;0;2;3;0;0
787;D;Dc;Djimsiti;Atalanta;33;5,86;5,8;0;0;0;0;0;0;0;4;0;0
2640;D;"B;Ds;E";Kolasinac;Atalanta;17;6,03;5,94;0;0;0;0;0;0;0;3;0;0
6042;D;Dc;Lucumì;Bologna;28;5,88;5,89;1;0;0;0;0;0;0;5;0;0
5701;D;"Ds;Dc";Obert;Cagliari;34;5,88;5,82;0;0;0;0;0;0;3;8;1;0
6660;D;Dc;Marcandalli;Genoa;31;5,87;5,84;0;0;0;0;0;0;1;4;0;0
6814;D;"Dd;E";Norton-Cuffy;Genoa;27;5,93;6,09;2;0;0;0;0;0;1;3;1;0
7012;D;Dc;Provstgaard;Lazio;23;5,91;5,85;0;0;0;0;0;0;0;3;0;0
5812;D;"Dd;Ds;E";Terracciano F.;Cremonese;35;5,86;5,83;2;0;0;0;0;0;0;6;0;2
6887;D;Dc;Leoni;Parma;0;0;0;0;0;0;0;0;0;0;0;0;0
4772;D;E;Angelino;Roma;6;5,83;5,67;0;0;0;0;0;0;0;2;0;0
6426;D;"Dd;E";Pedersen;Torino;28;5,84;5,96;1;0;0;0;0;0;2;3;0;0
6047;D;"Dd;E";Ehizibue;Udinese;26;5,83;5,96;2;0;0;0;0;0;0;5;0;0
6639;D;"Ds;E";Frese;Verona;31;5,84;5,84;2;0;0;0;0;0;0;8;0;1
6046;D;Dc;Hien;Atalanta;28;5,91;5,86;1;0;0;0;0;0;0;5;0;1
5578;D;"Dd;Dc";Kossounou;Atalanta;16;5,94;6,09;1;0;0;0;0;0;0;1;0;0
4887;D;E;Bellanova;Atalanta;22;5,82;5,82;0;0;0;0;0;0;1;2;0;0
4461;D;"B;Dd;E";Zappa;Cagliari;25;5,9;5,98;0;0;0;0;0;0;3;2;0;0
7014;D;"Dd;Dc";Smolcic I.;Como;25;5,96;5,84;0;0;0;0;0;0;1;8;0;0
6013;D;"Dd;Ds;E";Barbieri;Cremonese;26;5,98;5,87;0;0;0;0;0;0;1;8;0;0
4378;D;"Ds;Dc";Ranieri L.;Fiorentina;31;5,85;5,79;1;0;0;0;0;0;0;8;1;0
5449;D;E;Parisi;Fiorentina;23;6,02;5,98;1;0;0;0;0;0;1;6;0;1
5739;D;"Dd;Dc";De Winter;Milan;24;5,75;5,9;1;0;0;0;0;0;1;1;0;0
6039;D;"B;Ds;E";Cabal;Juventus;9;5,94;6,56;2;0;0;0;0;0;0;1;0;0
7175;D;E;Joao Mario;Bologna;14;5,79;6;1;0;0;0;0;0;1;2;0;0
5620;D;"Ds;E";Tavares N.;Lazio;22;5,91;5,8;0;0;0;0;0;0;0;5;0;0
5527;D;"Dd;E";Zanoli;Udinese;19;6,05;6,29;1;0;0;0;0;0;2;1;0;0
2273;D;Dc;Caracciolo A.;Pisa;35;5,8;5,77;2;0;0;0;0;0;0;10;0;1
5010;D;Dc;Ismajli;Torino;24;5,92;5,9;0;0;0;0;0;0;2;5;0;0
5555;D;"Ds;E";Kamara H.;Udinese;26;5,88;5,87;0;0;0;0;0;0;2;5;0;0
5532;D;"Ds;E";Bradaric;Verona;29;5,81;5,84;0;0;0;0;0;0;2;2;0;0
7240;D;Dc;Siebert;Lecce;19;5,68;5,76;1;0;0;0;0;0;0;3;0;0
7352;D;Dc;Edmundsson;Verona;15;5,97;5,73;0;0;0;0;0;0;0;3;0;1
7125;D;"Ds;E";Idrissi R.;Cagliari;17;5,82;6,09;2;0;0;0;0;0;0;3;0;0
6230;D;Dc;Dossena;Cagliari;11;5,82;5,68;0;0;0;0;0;0;1;5;0;0
6896;D;"Dd;E";Van Der Brempt;Como;14;5,96;5,96;0;0;0;0;0;0;1;2;0;0
7131;D;"Dd;E";Floriani Mussolini;Cremonese;23;5,72;5,72;0;0;0;0;0;0;1;2;0;0
5603;D;Dc;Pongracic;Fiorentina;35;5,84;5,67;0;0;0;0;0;0;0;12;0;0
513;D;Dc;Acerbi;Inter;16;6,03;5,94;0;0;0;0;0;0;0;3;0;0
5831;D;Dc;Gatti;Juventus;16;5,94;6,22;2;0;0;0;0;0;0;3;0;0
2728;D;"Ds;E";Pellegrini Lu.;Lazio;24;5,85;5,81;1;0;0;0;0;0;0;8;0;0
6990;D;"Dd;E";Veiga D.;Lecce;36;5,82;5,69;0;0;0;0;0;0;0;9;0;0
4401;D;Dc;Gabbia;Milan;29;5,91;5,84;0;0;0;0;0;0;0;4;0;0
6531;D;"Dd;Ds;E";Jimenez A.;Milan;1;5,5;5;0;0;0;0;0;0;0;1;0;0
5840;D;"Ds;E";Olivera;Napoli;22;5,75;5,68;0;0;0;0;0;0;0;3;0;0
5307;D;Dc;Valenti;Parma;27;5,96;5,83;0;0;0;0;0;0;0;7;0;0
7139;D;Dc;Canestrelli;Pisa;37;5,69;5,72;1;0;0;0;0;0;0;4;0;0
4374;D;"Dd;Dc";Walukiewicz;Sassuolo;34;5,81;5,74;0;0;0;0;0;0;1;7;0;0
5820;D;Dc;Bertola;Udinese;25;5,86;5,84;0;0;0;0;0;0;1;3;0;0
5994;D;"Ds;Dc";Ebosse;Torino;16;5,75;5,72;0;0;0;0;0;0;1;4;0;0
697;D;E;Cuadrado;Pisa;15;6,03;6,13;1;0;0;1;1;0;0;3;0;0
7018;D;Dc;Nelsson;Verona;37;5,68;5,57;0;0;0;0;0;0;0;4;0;1
7235;D;Dc;Troilo;Parma;21;5,79;5,71;1;0;0;0;0;0;0;5;2;0
7274;D;Dc;Zè Pedro;Cagliari;22;5,77;5,68;0;0;0;0;0;0;1;6;0;0
6916;D;"B;Ds;E";Ahanor;Atalanta;21;5,79;5,69;0;0;0;0;0;0;0;2;1;0
7068;D;Dc;Vitik;Bologna;18;5,94;5,86;0;0;0;0;0;0;0;3;0;0
612;D;Dc;Bianchetti;Cremonese;27;5,72;5,69;0;0;0;0;0;0;1;4;0;0
7130;D;Dc;Folino;Cremonese;11;5,77;6,05;1;0;0;0;0;0;0;0;0;0
770;D;"Ds;E";Pezzella Giu.;Cremonese;31;5,68;5,55;0;0;0;0;0;0;1;8;1;0
6495;D;Dc;Comuzzo;Fiorentina;24;5,75;5,75;1;0;0;0;0;0;0;2;0;1
6055;D;Dc;Thiaw;Milan;0;0;0;0;0;0;0;0;0;0;0;0;0
256;D;"Ds;Dc";Juan Jesus;Napoli;21;5,86;5,62;0;0;0;0;0;0;0;8;1;0
5481;D;"Dd;Ds;E";Mazzocchi;Napoli;9;5,94;5,94;0;0;0;0;0;0;1;0;1;0
7020;D;E;Salah-Eddine;Roma;0;0;0;0;0;0;0;0;0;0;0;0;0
5851;D;"Ds;E";Doig;Sassuolo;27;5,85;5,76;0;0;0;0;0;0;0;5;0;0
4385;D;"Dd;E";Lazaro;Torino;30;5,7;5,7;0;0;0;0;0;0;2;4;0;0
6894;D;Dc;Unai Nunez;Verona;17;5,85;5,59;0;0;0;0;0;0;0;5;0;1
6992;D;"B;Dd;E";Oyegoke;Verona;10;5,8;5,7;0;0;0;0;0;0;0;2;0;0
7212;D;"Ds;Dc";Heggem;Bologna;25;5,84;5,8;0;0;0;0;0;0;0;0;1;0
7255;D;"Dd;Ds;E";Britschgi;Parma;28;5,75;5,7;0;0;0;0;0;0;2;5;1;0
7268;D;"Ds;Dc";Rodriguez Ju.;Cagliari;16;5,62;5,72;1;0;0;0;0;0;0;3;0;0
6665;D;"Dd;Ds;E";Coulibaly W.;Sassuolo;18;5,69;5,64;0;0;0;0;0;0;0;2;0;0
4982;D;Dc;Erlic;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0
487;D;"Dd;E";De Silvestri;Bologna;10;6,05;5,95;0;0;0;0;0;0;0;2;0;0
6231;D;"Ds;E";Azzi;Cremonese;0;0;0;0;0;0;0;0;0;0;0;0;0
6245;D;"Dd;Dc";Vogliacco;Genoa;0;0;0;0;0;0;0;0;0;0;0;0;0
791;D;"Dd;Ds;E";Sabelli;Genoa;13;5,81;5,65;0;0;0;0;0;0;0;0;0;1
322;D;Dc;De Vrij;Inter;8;6,12;6,06;0;0;0;0;0;0;0;1;0;0
2525;D;"B;Dd;E";Darmian;Inter;5;6;6;0;0;0;0;0;0;0;0;0;0
6802;D;"B;Dd;E";Savona;Juventus;0;0;0;0;0;0;0;0;0;0;0;0;0
327;D;"Dd;Dc";Patric;Lazio;10;5,85;5,75;0;0;0;0;0;0;0;2;0;0
2263;D;"Dd;E";Lazzari;Lazio;17;5,79;5,74;0;0;0;0;0;0;0;2;0;0
6809;D;Dc;Marianucci;Torino;11;5,73;5,73;0;0;0;0;0;0;1;2;0;0
5353;D;Dc;Balogh;Parma;0;0;0;0;0;0;0;0;0;0;0;0;0
2745;D;"B;Dd;E";Calabresi;Pisa;25;5,74;5,58;0;0;0;0;0;0;0;8;0;0
6533;D;Dc;Giannetti L.;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0
6211;D;"Ds;E";Zemura;Udinese;15;5,87;5,77;0;0;0;0;0;0;0;3;0;0
6957;D;Dc;Valentini N.;Verona;19;5,79;5,58;0;0;0;0;0;0;0;6;1;0
7253;D;Dc;Bella-Kotchap;Verona;18;5,83;5,75;0;0;0;0;0;0;0;3;0;0
5168;D;"Ds;E";Tsimikas;Roma;13;5,73;5,69;0;0;0;0;0;0;0;1;0;0
7335;D;Dc;Zatterstrom;Genoa;2;6;6;0;0;0;0;0;0;0;0;0;0
6149;D;"Ds;E";Carboni F.;Parma;2;6;6;0;0;0;0;0;0;0;0;0;0
7353;D;Dc;Pedro Felipe;Sassuolo;2;5,75;6,25;0;0;0;0;0;0;1;0;0;0
6444;D;Dc;Bonfanti;Pisa;9;5,61;5,56;0;0;0;0;0;0;0;1;0;0
2653;D;"Ds;E";Lykogiannis;Bologna;8;5,62;5,56;0;0;0;0;0;0;1;3;0;0
5406;D;"Dd;E";Di Pardo;Cagliari;1;5,5;5,5;0;0;0;0;0;0;0;0;0;0
6944;D;"Ds;Dc";Jack;Como;0;0;0;0;0;0;0;0;0;0;0;0;0
5860;D;Dc;Ravanelli;Cremonese;0;0;0;0;0;0;0;0;0;0;0;0;0
4904;D;Dc;Marì;Fiorentina;10;5,45;5,3;0;0;0;0;0;0;0;3;0;0
5718;D;Dc;Viti;Fiorentina;6;5,58;5,33;0;0;0;0;0;0;0;1;1;0
7069;D;E;Fortini;Fiorentina;12;5,96;5,96;0;0;0;0;0;0;0;0;0;0
6977;D;Dc;Otoa;Genoa;10;5,6;5,35;0;0;0;0;0;0;0;1;0;1
294;D;Dc;Rugani;Fiorentina;8;5,69;5,56;0;0;0;0;0;0;0;2;0;0
6632;D;Dc;Gaspar K.;Lecce;21;5,83;5,64;0;0;0;0;0;0;0;6;1;0
6883;D;Dc;Jean;Lecce;5;5,8;5,7;0;0;0;0;0;0;0;1;0;0
5273;D;"Ds;E";Estupinan;Milan;14;5,64;5,71;1;0;0;0;0;0;1;5;1;0
6821;D;"Dd;E";Hainaut;Parma;0;0;0;0;0;0;0;0;0;0;0;0;0
6965;D;"Ds;E";Lovik;Parma;6;5,58;5,58;0;0;0;0;0;0;0;0;0;0
6411;D;Dc;Mateus Lusuardi;Pisa;3;5,83;5,67;0;0;0;0;0;0;0;1;0;0
7141;D;"Dd;Dc";Rus;Pisa;0;0;0;0;0;0;0;0;0;0;0;0;0
4495;D;Dc;Kumbulla;Roma;0;0;0;0;0;0;0;0;0;0;0;0;0
6189;D;"Dd;E";Missori;Sassuolo;0;0;0;0;0;0;0;0;0;0;0;0;0
49;D;"B;Ds;E";Masina;Torino;4;5,38;5,62;0;0;0;0;0;0;1;0;0;0
252;D;"Ds;E";Biraghi;Torino;11;5,59;5,59;0;0;0;0;0;0;0;0;0;0
6925;D;Dc;Palma;Udinese;4;5,5;5,5;0;0;0;0;0;0;0;0;0;0
7011;D;Dc;Slotsager;Verona;6;5,75;5,75;0;0;0;0;0;0;0;0;0;0
7202;D;Dc;Ndiaye;Parma;11;5,59;5,36;0;0;0;0;0;0;0;3;1;0
6537;D;"Dd;Dc";Goglichidze;Udinese;6;5,75;5,58;0;0;0;0;0;0;0;2;0;0
7222;D;"Dd;Ds;E";Cham;Verona;3;5,17;5,17;0;0;0;0;0;0;0;0;0;0
7260;D;Dc;Ziolkowski;Roma;9;5,94;5,78;0;0;0;0;0;0;0;3;0;0
5156;D;"Ds;E";Nkounkou;Torino;8;5,81;5,81;0;0;0;0;0;0;1;3;0;0
7312;D;"Ds;E";Arizala;Udinese;5;5,8;5,8;0;0;0;0;0;0;0;0;0;0
7326;D;"Dd;Dc";Helland;Bologna;6;5,5;5,33;0;0;0;0;0;0;0;2;0;0
2006;D;"B;Dd;E";Lirola;Verona;5;5,7;5,6;0;0;0;0;0;0;0;1;0;0
7336;D;Dc;Tchoca;Torino;0;0;0;0;0;0;0;0;0;0;0;0;0
7356;D;Dc;Mlacic;Udinese;3;5,83;5,67;0;0;0;0;0;0;0;2;0;0
7377;D;"Ds;E";Balbo;Fiorentina;4;5,75;5,75;0;0;0;0;0;0;0;0;0;0
5498;D;Dc;Casale;Bologna;10;5,65;5,65;0;0;0;0;0;0;0;0;0;0
6551;D;Dc;Ilic M.;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0
6464;D;Dc;Wieteska;Cagliari;0;0;0;0;0;0;0;0;0;0;0;0;0
6636;D;"Ds;Dc";Veroli;Cagliari;0;0;0;0;0;0;0;0;0;0;0;0;0
